UserID,SignupDate,High_Value_Score,Score_Bucket,User_Value_Segment,Recommended_Action
200092,2026-03-29,0.8932,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200212,2025-08-06,0.8827,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200169,2026-04-14,0.8807,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200046,2025-07-18,0.8792,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200026,2026-05-15,0.8776,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200084,2025-05-30,0.8749,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200085,2026-01-07,0.8708,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200145,2025-04-15,0.8698,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200180,2026-04-04,0.8666,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200109,2025-12-10,0.8653,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200039,2025-05-29,0.8615,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200203,2025-04-05,0.8595,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200234,2026-02-13,0.8555,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200172,2025-02-21,0.8543,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200231,2025-07-27,0.8529,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200246,2025-12-18,0.8446,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200013,2025-05-11,0.8441,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200032,2026-05-10,0.8437,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200049,2025-08-21,0.8411,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200128,2025-07-26,0.8404,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200015,2025-02-05,0.8399,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200072,2025-02-02,0.8387,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200158,2025-10-20,0.8359,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200151,2025-10-02,0.8357,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200182,2025-08-05,0.8343,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200083,2024-12-13,0.8285,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200030,2025-09-20,0.8282,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200213,2026-03-24,0.8281,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200233,2025-08-29,0.8278,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200047,2026-01-28,0.8264,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200202,2025-11-08,0.8258,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200140,2025-11-10,0.8251,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200098,2024-12-31,0.8231,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200106,2025-08-19,0.8231,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200021,2025-11-25,0.8226,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200107,2025-11-03,0.8177,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200229,2025-04-08,0.8175,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200237,2024-12-08,0.8129,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200156,2026-01-04,0.8103,0.80 - 1.00,Very High Potential,Prioritize for premium onboarding and high-touch CRM
200133,2025-04-01,0.7944,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200008,2026-05-07,0.7935,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200010,2025-09-05,0.7908,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200053,2026-05-15,0.7905,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200149,2026-03-24,0.7881,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200115,2025-01-08,0.7845,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200147,2025-08-18,0.7808,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200019,2025-06-27,0.779,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200041,2026-05-16,0.7789,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200037,2026-05-17,0.7746,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200164,2026-02-14,0.774,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200216,2024-12-23,0.7739,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200139,2026-02-21,0.7673,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200244,2025-05-20,0.7662,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200134,2025-06-13,0.7652,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200009,2025-05-30,0.7652,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200051,2026-01-04,0.7643,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200086,2025-07-02,0.7636,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200122,2025-12-15,0.7619,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200184,2026-02-01,0.7588,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200105,2025-04-08,0.7577,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200011,2026-01-04,0.7564,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200048,2026-03-13,0.7563,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200238,2026-05-08,0.7519,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200178,2026-02-01,0.7499,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200088,2026-05-04,0.7424,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200057,2025-10-14,0.7414,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200078,2025-07-06,0.7404,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200034,2025-10-26,0.7377,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200014,2025-09-16,0.7331,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200038,2025-05-07,0.7308,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200007,2025-03-09,0.7293,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200071,2025-05-02,0.7289,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200220,2026-01-22,0.7278,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200068,2025-05-31,0.7231,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200108,2025-02-01,0.7209,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200000,2025-02-14,0.7162,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200204,2025-03-23,0.712,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200061,2025-03-21,0.712,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200020,2025-11-04,0.7078,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200063,2025-08-13,0.7072,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200065,2026-04-02,0.707,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200188,2024-12-08,0.7069,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200127,2025-09-04,0.7047,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200005,2026-03-18,0.7039,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200157,2026-02-18,0.702,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200090,2025-11-18,0.7014,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200160,2025-10-06,0.6965,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200058,2026-03-31,0.6955,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200120,2025-06-23,0.6925,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200222,2025-12-11,0.6925,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200181,2025-07-31,0.6924,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200183,2025-12-20,0.6923,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200242,2025-09-05,0.6923,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200070,2024-12-30,0.6922,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200104,2026-05-04,0.6884,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200224,2025-06-12,0.6879,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200227,2025-02-19,0.6875,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200241,2025-10-29,0.6828,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200027,2025-12-30,0.6762,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200221,2025-12-05,0.6758,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200186,2025-09-16,0.6725,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200245,2025-01-21,0.6706,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200028,2025-09-30,0.6663,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200102,2026-01-29,0.6658,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200176,2025-03-13,0.6568,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200002,2025-08-26,0.6522,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200219,2025-08-30,0.6522,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200077,2025-12-19,0.6504,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200043,2025-12-01,0.6369,0.60 - 0.80,High Intent,Send first-purchase offer or guided conversion journey
200209,2026-05-15,0.6364,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200001,2024-12-12,0.6355,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200050,2025-08-13,0.6305,0.60 - 0.80,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200101,2025-07-05,0.6293,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200103,2026-03-19,0.6262,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200097,2026-01-02,0.6251,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200040,2026-03-21,0.6174,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200067,2025-01-24,0.611,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200082,2025-07-26,0.61,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200123,2025-10-10,0.6055,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200173,2025-09-06,0.6051,0.60 - 0.80,Low Early Signal,Run low-cost nurture and activation campaigns
200215,2025-01-17,0.6017,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200069,2025-04-26,0.601,0.60 - 0.80,Service Explorer,"Send education content, trust signals, and product walkthrough"
200249,2025-11-23,0.5995,0.40 - 0.60,High Intent,Send first-purchase offer or guided conversion journey
200198,2025-09-01,0.5983,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200155,2026-03-11,0.5938,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200031,2025-04-17,0.593,0.40 - 0.60,High Intent,Send first-purchase offer or guided conversion journey
200074,2025-01-19,0.592,0.40 - 0.60,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200099,2025-07-20,0.591,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200228,2025-02-11,0.5895,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200141,2026-03-18,0.5862,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200044,2026-04-30,0.5854,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200100,2026-02-14,0.5839,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200089,2026-03-10,0.5837,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200136,2026-05-10,0.5814,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200096,2025-10-05,0.5774,0.40 - 0.60,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200192,2026-02-20,0.5741,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200152,2025-10-22,0.5715,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200248,2025-06-04,0.5712,0.40 - 0.60,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200240,2025-09-04,0.57,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200076,2025-05-02,0.5686,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200175,2025-03-16,0.5671,0.40 - 0.60,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200117,2024-12-06,0.5642,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200006,2026-03-21,0.5607,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200029,2025-01-12,0.5593,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200056,2025-09-25,0.5545,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200111,2026-04-17,0.554,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200236,2025-07-31,0.5532,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200159,2026-04-21,0.5514,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200012,2026-03-30,0.5512,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200194,2026-03-02,0.5501,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200165,2025-11-09,0.5448,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200024,2024-12-11,0.5429,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200187,2025-03-07,0.5375,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200179,2026-04-02,0.5269,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200148,2026-05-07,0.5263,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200035,2025-02-12,0.5221,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200201,2025-03-29,0.5204,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200247,2025-08-10,0.5172,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200163,2025-03-26,0.5076,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200054,2026-05-02,0.507,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200018,2025-07-14,0.5055,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200135,2025-12-20,0.5041,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200162,2025-05-04,0.5041,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200150,2025-07-11,0.5034,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200205,2025-05-21,0.5023,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200207,2025-01-16,0.5018,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200118,2025-06-29,0.4988,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200146,2025-04-14,0.4939,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200210,2025-05-16,0.4874,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200126,2025-08-21,0.4859,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200110,2025-06-03,0.4834,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200131,2025-06-13,0.4814,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200195,2025-04-08,0.4742,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200023,2026-03-08,0.4735,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200211,2025-08-20,0.4678,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200200,2025-05-11,0.4486,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200080,2024-12-22,0.4477,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200022,2025-07-11,0.4465,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200066,2025-04-10,0.4429,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200161,2025-03-10,0.4404,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200144,2025-09-29,0.4377,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200059,2026-02-27,0.4345,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200185,2025-10-20,0.4254,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200177,2024-12-20,0.421,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200239,2025-07-23,0.4171,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200121,2025-03-11,0.4146,0.40 - 0.60,Premium Profile,"Show premium plans, bundles, and personalized recommendations"
200170,2026-04-24,0.4124,0.40 - 0.60,Low Early Signal,Run low-cost nurture and activation campaigns
200168,2026-02-08,0.4043,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200004,2025-05-20,0.4039,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200079,2026-02-22,0.4036,0.40 - 0.60,High Intent,Send first-purchase offer or guided conversion journey
200081,2026-03-16,0.4028,0.40 - 0.60,Service Explorer,"Send education content, trust signals, and product walkthrough"
200218,2025-03-08,0.3971,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200142,2025-11-03,0.3885,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200017,2025-07-10,0.3833,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200091,2025-03-12,0.3831,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200124,2025-12-16,0.3786,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200113,2025-08-10,0.3727,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200143,2025-02-27,0.3685,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200016,2025-11-13,0.366,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200055,2025-04-14,0.3541,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200225,2025-05-18,0.3516,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200166,2025-03-25,0.3513,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200206,2025-05-23,0.3489,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200087,2025-01-22,0.3488,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200226,2026-05-20,0.3466,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200094,2025-02-15,0.3315,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200235,2025-01-31,0.33,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200199,2026-02-03,0.3276,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200125,2025-06-14,0.327,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200093,2026-02-06,0.3252,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200232,2025-03-10,0.3242,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200208,2025-01-11,0.3189,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200045,2025-11-12,0.3147,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200171,2025-12-16,0.3095,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200217,2025-08-06,0.3083,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200062,2026-05-25,0.3071,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200116,2026-01-26,0.3046,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200137,2025-03-08,0.3029,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200193,2025-06-10,0.2781,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200138,2025-08-25,0.2566,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200190,2025-01-05,0.2476,0.20 - 0.40,Service Explorer,"Send education content, trust signals, and product walkthrough"
200075,2025-11-22,0.2336,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200036,2026-03-03,0.2318,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200033,2025-09-22,0.2223,0.20 - 0.40,Low Early Signal,Run low-cost nurture and activation campaigns
200129,2025-11-18,0.1473,0.00 - 0.20,Low Early Signal,Run low-cost nurture and activation campaigns
