UserID,SignupDate,SignupDay,SignupTime,Age,Gender,City,State,Country,Language,DeviceType,DeviceModel,OSDetails,AppVersion,ISP,AcquisitionSource,Campaign,Adgroup,FirstEventName,LandingPageViewed,ProfileCompleted,NotificationPermissionGiven,FirstSessionDurationSec,FirstSessionEventCount,ViewedPricingPage,ViewedServicePage,UsedSearch,AddedWalletMoneyOnSignupDay,SignupWalletBalance,DevicePriceTier,AcquisitionCostBucket,SignupIntentScore,PremiumDeviceFlag,HighIntentFirstSessionFlag,PaidAcquisitionFlag
200026,2026-05-15,Wed,Afternoon,23,Male,Delhi,West Bengal,India,Tamil,Android,Redmi Note,Android 12,1.1.0,BSNL,google,organic,C,signup,0,1,1,312.0,13,0,1,0,0,83.23,Mid,Medium,5.8,0,1,1
200027,2025-12-30,Fri,Evening,40,Male,Jaipur,Karnataka,India,English,Android,Vivo V27,Android 14,1.1.0,ACT,organic,install_campaign,D,view_home,1,0,1,307.0,6,0,1,0,0,345.6,Low,Medium,2.8,0,0,0
200028,2025-09-30,Sun,Afternoon,48,Female,Jaipur,Tamil Nadu,India,English,Android,iPhone 13,Android 13,1.2.3,ACT,referral,lookalike,C,view_home,1,0,1,84.0,11,1,1,0,0,371.45,Low,Medium,3.7,0,0,0
200029,2025-01-12,Thu,Afternoon,38,Male,Jaipur,MP,India,Telugu,Android,Samsung A14,Android 13,1.1.0,Other,google,install_campaign,B,app_launch,1,1,1,105.0,8,0,1,1,0,470.55,Low,High,4.5,0,1,1
200030,2025-09-20,Sat,Afternoon,41,Other,Jaipur,MP,India,Hindi,Android,OnePlus Nord,Android 12,2.0.0,BSNL,affiliate,remarketing,E,view_home,1,1,1,342.0,6,0,0,0,0,85.96,Premium,Medium,3.3,1,0,1
200031,2025-04-17,Sat,Evening,59,Female,Jaipur,Tamil Nadu,India,Bengali,Web,Redmi Note,Android 12,2.1.1,ACT,meta,brand_search,A,signup,1,1,0,75.0,8,0,0,0,1,31.57,Low,Medium,5.0,0,1,1
200032,2026-05-10,Fri,Evening,57,Male,Hyderabad,Rajasthan,India,Telugu,Android,iPhone 13,iOS 16,1.0.1,Vi,affiliate,organic,A,signup,0,1,1,296.0,12,1,0,0,0,164.18,Low,Low,5.5,0,1,1
200033,2025-09-22,Fri,Afternoon,52,Male,Kolkata,Karnataka,India,Tamil,Android,Samsung A14,Android 12,1.2.3,Other,organic,brand_search,A,notification_open,1,0,0,117.0,7,0,0,0,0,157.4,Mid,Low,0.0,0,0,0
200034,2025-10-26,Sat,Afternoon,56,Female,Chennai,Delhi,India,Hindi,Android,Samsung A14,iOS 17,1.1.0,Jio,google,welcome_offer,C,notification_open,0,0,0,258.0,9,1,0,1,0,137.88,Mid,Low,3.5,0,0,1
200035,2025-02-12,Thu,Night,29,Female,Delhi,Tamil Nadu,India,Telugu,iOS,iPhone 14,Android 13,1.2.3,Jio,referral,install_campaign,A,notification_open,1,1,0,21.0,11,0,1,0,0,11.22,Mid,Medium,4.5,0,1,0
200036,2026-03-03,Fri,Night,58,Other,Kolkata,Maharashtra,India,Telugu,Android,Vivo V27,iOS 17,1.0.1,ACT,affiliate,welcome_offer,B,promo_click,1,0,1,117.0,8,0,0,0,0,99.99,Mid,Medium,0.0,0,0,1
200037,2026-05-17,Thu,Morning,39,Female,Chennai,West Bengal,India,Hindi,Android,iPhone 13,iOS 17,2.0.0,BSNL,meta,brand_search,E,promo_click,1,0,1,400.0,5,0,1,0,0,293.05,Mid,Low,2.8,0,0,1
200038,2025-05-07,Fri,Afternoon,47,Female,Pune,Rajasthan,India,English,Android,Vivo V27,iOS 17,1.1.0,ACT,referral,remarketing,E,signup,1,0,1,259.0,9,0,1,0,0,242.29,Mid,Medium,2.8,0,0,0
200039,2025-05-29,Wed,Afternoon,37,Female,Delhi,Delhi,India,Telugu,iOS,iPhone 14,Android 13,1.2.3,BSNL,organic,welcome_offer,C,app_launch,1,1,1,114.0,10,0,1,1,1,65.72,Mid,Medium,7.5,0,1,0
200040,2026-03-21,Wed,Night,52,Female,Jaipur,Tamil Nadu,Canada,Bengali,iOS,iPhone 13,Android 13,2.0.0,Airtel,referral,install_campaign,E,signup,1,0,0,136.0,11,1,0,0,0,371.64,Mid,Low,2.2,0,0,0
200041,2026-05-16,Mon,Afternoon,44,Male,Hyderabad,Delhi,UK,Hindi,iOS,Vivo V27,iOS 17,2.0.0,Jio,crm,organic,E,notification_open,1,1,1,159.0,5,0,1,1,0,225.17,High,High,4.5,1,1,0
200042,2025-06-24,Thu,Evening,22,Male,Mumbai,Telangana,India,Bengali,Android,iPhone 14,iOS 17,2.0.0,ACT,crm,lookalike,B,app_launch,1,0,1,554.0,10,0,1,1,0,65.44,Mid,Low,3.8,0,0,0
200043,2025-12-01,Wed,Night,34,Male,Mumbai,Rajasthan,India,English,Android,Samsung A14,Android 12,2.1.1,Jio,affiliate,install_campaign,C,notification_open,1,1,1,23.0,8,0,1,1,1,171.98,Mid,Low,7.5,0,1,1
200044,2026-04-30,Sun,Night,19,Female,Chennai,Tamil Nadu,India,Telugu,iOS,Vivo V27,Android 14,1.1.0,Vi,affiliate,lookalike,A,signup,0,0,1,244.0,1,0,1,0,0,118.75,Premium,High,2.8,1,0,1
200045,2025-11-12,Sun,Morning,27,Female,Jaipur,Karnataka,India,English,Android,OnePlus Nord,Android 13,1.1.0,Jio,referral,organic,D,signup,1,0,1,59.0,9,0,0,0,0,150.14,Low,Medium,0.0,0,0,0
200046,2025-07-18,Mon,Night,45,Female,Hyderabad,Maharashtra,India,Hindi,Android,OnePlus Nord,iOS 17,1.0.1,Airtel,google,brand_search,C,notification_open,0,1,0,114.0,8,0,1,0,1,141.49,Low,Low,6.5,0,1,1
200047,2026-01-28,Sat,Morning,53,Male,Pune,Karnataka,Canada,Hindi,Android,Oppo F21,Android 13,1.0.1,Vi,google,welcome_offer,B,view_home,1,1,1,143.0,13,0,1,0,0,172.78,Mid,Medium,4.5,0,1,1
200048,2026-03-13,Tue,Night,48,Female,Indore,Delhi,India,Tamil,Android,iPhone 14,iOS 16,1.2.3,Jio,google,welcome_offer,E,view_home,1,1,1,108.0,7,0,0,0,1,160.94,Mid,Low,5.0,0,1,1
200049,2025-08-21,Tue,Evening,32,Male,Hyderabad,Tamil Nadu,India,Tamil,Android,Vivo V27,Android 14,1.0.1,Vi,referral,install_campaign,E,notification_open,1,0,0,403.0,10,0,1,0,0,54.1,Low,Medium,2.8,0,0,0
200050,2025-08-13,Sat,Afternoon,31,Female,Hyderabad,Tamil Nadu,India,Hindi,iOS,Vivo V27,Android 13,1.1.0,BSNL,google,welcome_offer,B,view_service,1,1,0,52.0,6,0,1,0,0,104.07,Premium,High,3.5,1,0,1
200051,2026-01-04,Sun,Afternoon,46,Female,Bengaluru,West Bengal,UAE,English,Android,iPhone 14,iOS 16,1.1.0,Vi,affiliate,brand_search,B,app_launch,0,1,0,296.0,3,0,1,1,0,70.63,Low,High,5.8,0,1,1
200052,2025-05-02,Thu,Evening,22,Male,Indore,Karnataka,India,Bengali,Android,Samsung A14,Android 13,1.1.0,Jio,organic,brand_search,D,view_service,0,0,1,373.0,14,1,0,0,0,106.54,Mid,Medium,3.5,0,0,0
200053,2026-05-15,Mon,Morning,49,Male,Hyderabad,MP,India,Hindi,Android,Redmi Note,iOS 17,1.0.1,Jio,organic,install_campaign,D,signup,1,1,1,424.0,6,0,1,0,0,463.78,Low,Medium,4.8,0,1,0
200054,2026-05-02,Sat,Evening,26,Male,Jaipur,MP,India,Telugu,iOS,Redmi Note,iOS 16,2.0.0,BSNL,meta,remarketing,E,view_home,1,1,1,81.0,13,0,0,0,0,32.45,Low,Low,3.0,0,0,1
200055,2025-04-14,Wed,Night,25,Male,Pune,Karnataka,India,Tamil,Android,iPhone 14,iOS 17,2.1.1,Jio,google,install_campaign,A,view_home,1,0,1,206.0,4,0,0,1,0,52.61,Mid,Low,1.0,0,0,1
200056,2025-09-25,Sat,Morning,53,Male,Mumbai,Delhi,India,Bengali,Android,iPhone 14,iOS 16,1.2.3,ACT,organic,remarketing,D,app_launch,1,0,0,328.0,8,0,0,0,0,79.52,Low,Medium,1.3,0,0,0
200057,2025-10-14,Sat,Night,48,Male,Mumbai,MP,India,Bengali,iOS,iPhone 13,iOS 17,1.0.1,Jio,meta,remarketing,E,view_service,1,0,0,438.0,7,0,0,0,0,249.46,Mid,Medium,1.3,0,0,1
200058,2026-03-31,Tue,Morning,48,Female,Bengaluru,Delhi,India,Hindi,Android,OnePlus Nord,iOS 17,1.2.3,Vi,organic,install_campaign,D,notification_open,1,1,1,97.0,4,0,1,1,0,147.86,High,Low,4.5,1,1,0
200059,2026-02-27,Thu,Morning,21,Female,Indore,Telangana,India,Hindi,Android,OnePlus Nord,iOS 17,2.1.1,Vi,affiliate,organic,E,notification_open,1,0,1,105.0,7,0,1,0,0,148.04,Mid,Medium,1.5,0,0,1
200060,2025-01-19,Thu,Evening,48,Female,Jaipur,Karnataka,India,Tamil,Android,Vivo V27,Android 13,1.2.3,Vi,meta,brand_search,E,promo_click,1,1,1,355.0,11,0,0,0,0,90.51,Low,Medium,4.3,0,1,1
200061,2025-03-21,Mon,Evening,31,Female,Kolkata,Rajasthan,India,Bengali,Android,Samsung A14,iOS 17,1.1.0,ACT,meta,install_campaign,B,view_service,0,0,1,396.0,10,0,0,0,0,61.07,Mid,Medium,1.3,0,0,1
200062,2026-05-25,Wed,Evening,56,Male,Indore,Telangana,India,Hindi,Android,OnePlus Nord,iOS 17,1.0.1,Other,organic,brand_search,E,notification_open,1,1,1,26.0,11,0,0,0,0,332.15,Mid,Medium,3.0,0,0,0
200063,2025-08-13,Wed,Morning,47,Female,Hyderabad,Delhi,USA,Telugu,iOS,OnePlus Nord,iOS 17,2.1.1,Jio,crm,remarketing,E,view_service,1,0,1,282.0,7,0,1,0,0,36.98,Mid,Medium,2.8,0,0,0
200064,2025-12-28,Wed,Night,25,Male,Kolkata,MP,India,Tamil,iOS,Oppo F21,iOS 16,2.1.1,Airtel,crm,organic,B,signup,1,1,1,577.0,7,1,1,0,0,43.06,Mid,Low,6.0,0,1,0
200065,2026-04-02,Wed,Evening,54,Other,Kolkata,Karnataka,India,Telugu,Android,Vivo V27,iOS 16,2.1.1,BSNL,affiliate,lookalike,A,signup,1,1,1,346.0,5,0,0,0,0,154.92,Mid,Low,3.3,0,0,1
200066,2025-04-10,Fri,Night,56,Female,Pune,Delhi,India,English,iOS,OnePlus Nord,iOS 17,1.0.1,Vi,affiliate,install_campaign,C,signup,1,0,0,109.0,13,1,0,0,0,139.37,Mid,High,2.2,0,0,1
200067,2025-01-24,Mon,Evening,32,Male,Mumbai,MP,India,Tamil,Android,OnePlus Nord,Android 13,1.2.3,Other,google,welcome_offer,A,notification_open,1,1,1,90.0,6,1,1,0,0,111.0,Low,Medium,4.7,0,1,1
200068,2025-05-31,Sun,Night,36,Male,Kolkata,Rajasthan,USA,English,Web,iPhone 13,iOS 16,1.2.3,ACT,referral,welcome_offer,D,notification_open,1,0,0,47.0,4,0,1,0,1,42.62,Low,Low,4.5,0,1,0
200069,2025-04-26,Fri,Morning,51,Male,Pune,Karnataka,India,Hindi,Android,iPhone 14,Android 14,2.0.0,Jio,google,install_campaign,C,signup,1,1,1,29.0,9,0,1,0,0,98.61,Mid,Medium,3.5,0,0,1
200070,2024-12-30,Wed,Night,44,Male,Bengaluru,Delhi,India,Bengali,Android,iPhone 13,Android 12,1.0.1,Vi,crm,organic,B,app_launch,1,1,1,306.0,10,0,0,0,0,70.89,Low,Medium,3.3,0,0,0
200071,2025-05-02,Fri,Night,49,Female,Pune,Karnataka,India,Tamil,iOS,iPhone 13,Android 12,1.1.0,Airtel,organic,lookalike,D,view_home,1,0,1,289.0,9,1,1,0,0,25.28,Mid,Low,4.0,0,1,0
200072,2025-02-02,Sun,Morning,46,Female,Chennai,West Bengal,India,Bengali,Android,OnePlus Nord,Android 13,1.1.0,Other,organic,lookalike,E,view_service,0,0,0,378.0,8,0,1,0,0,292.38,High,Low,2.8,1,0,0
200073,2025-12-25,Wed,Night,41,Female,Pune,Delhi,India,Hindi,Android,Redmi Note,Android 14,1.0.1,Other,organic,remarketing,D,promo_click,0,0,1,695.0,7,0,0,0,1,173.04,Low,Low,4.3,0,1,0
200074,2025-01-19,Fri,Afternoon,22,Female,Mumbai,Maharashtra,India,Telugu,Android,iPhone 14,Android 12,1.1.0,ACT,meta,organic,C,notification_open,1,1,1,127.0,5,0,0,0,0,25.23,High,Medium,2.0,1,0,1
200075,2025-11-22,Mon,Afternoon,41,Male,Delhi,MP,India,Hindi,Android,iPhone 14,Android 14,1.2.3,Other,referral,install_campaign,B,notification_open,0,0,1,89.0,9,0,0,0,0,320.6,Low,Low,0.0,0,0,0
200076,2025-05-02,Tue,Afternoon,21,Male,Delhi,Maharashtra,India,Bengali,Android,iPhone 14,Android 12,1.1.0,Vi,affiliate,organic,C,notification_open,1,1,0,66.0,7,0,1,0,0,51.86,Low,Medium,3.5,0,0,1
200077,2025-12-19,Fri,Night,41,Female,Hyderabad,West Bengal,India,Tamil,Android,Vivo V27,Android 14,2.0.0,BSNL,organic,organic,C,app_launch,1,0,1,260.0,9,0,1,0,0,81.61,Mid,Low,2.8,0,0,0
200078,2025-07-06,Thu,Evening,38,Male,Bengaluru,West Bengal,India,Bengali,Android,iPhone 13,Android 14,1.1.0,Vi,meta,remarketing,E,notification_open,1,1,0,156.0,12,1,0,0,1,216.22,Mid,Medium,7.2,0,1,1
200079,2026-02-22,Sun,Afternoon,49,Female,Delhi,Karnataka,India,Bengali,Android,Samsung A14,iOS 17,1.2.3,Airtel,organic,lookalike,D,promo_click,0,0,1,84.0,6,0,0,0,1,174.23,Mid,Low,3.0,0,0,0
200080,2024-12-22,Sat,Afternoon,44,Female,Indore,Rajasthan,India,Hindi,iOS,iPhone 14,iOS 16,2.1.1,Jio,crm,organic,C,view_home,1,0,0,50.0,8,1,1,0,0,498.96,Mid,Medium,2.7,0,0,0
200081,2026-03-16,Sun,Night,44,Female,Chennai,Telangana,India,Hindi,Android,iPhone 14,iOS 16,1.2.3,BSNL,meta,brand_search,D,promo_click,1,0,0,57.0,7,1,1,0,0,298.93,Mid,Medium,2.7,0,0,1
200082,2025-07-26,Mon,Afternoon,27,Male,Mumbai,MP,India,English,Android,Oppo F21,iOS 16,2.0.0,Vi,meta,lookalike,C,view_home,0,0,0,317.0,9,0,0,0,0,217.06,Mid,Low,1.3,0,0,1
200083,2024-12-13,Thu,Night,19,Female,Bengaluru,Karnataka,India,Telugu,Android,Vivo V27,Android 12,1.1.0,Airtel,meta,brand_search,A,app_launch,0,1,0,247.0,9,0,1,1,0,181.47,High,Medium,5.8,1,1,1
200084,2025-05-30,Sun,Morning,52,Female,Kolkata,Telangana,USA,Hindi,Android,iPhone 13,Android 12,1.2.3,Jio,organic,lookalike,C,view_home,1,0,0,459.0,11,0,1,0,0,75.93,Mid,Medium,3.8,0,0,0
200085,2026-01-07,Sat,Morning,32,Male,Jaipur,MP,UK,Hindi,Web,Oppo F21,Android 14,1.2.3,Airtel,referral,brand_search,C,view_home,1,1,0,166.0,7,0,1,1,1,28.45,Low,Low,7.5,0,1,0
200086,2025-07-02,Fri,Afternoon,58,Male,Hyderabad,Tamil Nadu,India,Telugu,iOS,iPhone 13,iOS 17,1.0.1,Airtel,affiliate,remarketing,D,view_service,1,0,0,290.0,8,1,0,0,1,92.16,Mid,High,5.5,0,1,1
200087,2025-01-22,Mon,Night,27,Male,Mumbai,MP,Canada,English,Android,OnePlus Nord,iOS 17,1.1.0,Jio,organic,install_campaign,E,signup,1,0,0,217.0,6,0,0,0,0,47.86,Low,High,0.0,0,0,0
200088,2026-05-04,Fri,Afternoon,44,Female,Bengaluru,MP,India,Bengali,Android,iPhone 14,iOS 16,1.1.0,BSNL,google,organic,D,notification_open,1,0,1,208.0,9,1,0,0,0,29.78,High,High,1.2,1,0,1
200089,2026-03-10,Fri,Night,28,Male,Jaipur,MP,India,Hindi,Android,iPhone 13,Android 14,2.0.0,Other,affiliate,brand_search,E,notification_open,0,0,0,291.0,6,1,0,1,0,196.72,Low,Medium,3.5,0,0,1
200090,2025-11-18,Sat,Afternoon,23,Male,Bengaluru,MP,India,Tamil,iOS,iPhone 13,Android 13,1.1.0,ACT,referral,remarketing,A,notification_open,1,1,1,302.0,9,0,0,0,0,146.83,Low,Low,3.3,0,0,0
200091,2025-03-12,Sat,Evening,59,Male,Chennai,West Bengal,India,Hindi,Android,OnePlus Nord,Android 13,1.1.0,Jio,affiliate,brand_search,A,promo_click,1,0,0,138.0,10,0,0,0,0,164.77,Low,Medium,0.0,0,0,1
200092,2026-03-29,Thu,Afternoon,27,Female,Bengaluru,Karnataka,India,Telugu,Android,Redmi Note,Android 13,1.0.1,ACT,google,welcome_offer,B,app_launch,1,1,0,164.0,13,1,0,1,0,231.33,High,Medium,5.2,1,1,1
200093,2026-02-06,Mon,Afternoon,26,Male,Chennai,MP,India,English,Android,OnePlus Nord,Android 12,2.1.1,BSNL,crm,install_campaign,B,notification_open,1,0,1,194.0,8,0,0,0,0,144.38,Mid,Low,0.0,0,0,0
200094,2025-02-15,Sat,Evening,30,Male,Indore,MP,India,Telugu,Android,Samsung A14,Android 12,1.2.3,Vi,crm,remarketing,B,view_home,1,0,0,146.0,6,0,1,0,0,43.85,Mid,Medium,1.5,0,0,0
200095,2025-11-20,Mon,Night,38,Female,Chennai,Delhi,India,Tamil,Android,Redmi Note,iOS 17,1.0.1,Jio,crm,brand_search,C,view_service,0,1,0,513.0,7,0,1,0,0,105.79,High,Low,4.8,1,1,0
200096,2025-10-05,Tue,Night,39,Male,Bengaluru,Telangana,India,Hindi,iOS,Vivo V27,iOS 17,1.2.3,Vi,affiliate,lookalike,E,notification_open,0,1,1,88.0,4,1,0,0,0,20.68,Premium,High,3.2,1,0,1
200097,2026-01-02,Sun,Afternoon,41,Male,Chennai,Tamil Nadu,India,Bengali,Android,iPhone 13,Android 12,2.1.1,Jio,referral,organic,A,view_service,0,1,1,112.0,5,1,0,0,0,152.62,Low,Low,3.2,0,0,0
200098,2024-12-31,Mon,Night,45,Female,Delhi,Maharashtra,India,Tamil,Android,Redmi Note,iOS 16,2.1.1,BSNL,meta,remarketing,E,signup,0,1,0,209.0,6,0,1,0,0,99.74,Premium,Low,3.5,1,0,1
200099,2025-07-20,Sat,Morning,42,Male,Pune,Maharashtra,India,English,Android,OnePlus Nord,Android 14,2.1.1,Other,affiliate,organic,E,app_launch,0,0,1,261.0,12,0,0,0,0,61.77,Mid,Medium,2.3,0,0,1
200100,2026-02-14,Wed,Morning,23,Female,Pune,Rajasthan,India,Bengali,Android,OnePlus Nord,Android 12,1.0.1,Airtel,crm,brand_search,E,notification_open,1,0,0,195.0,13,1,0,0,0,73.15,Mid,Low,2.2,0,0,0
200101,2025-07-05,Wed,Afternoon,41,Male,Pune,Telangana,India,English,Android,iPhone 14,iOS 17,2.0.0,Vi,affiliate,lookalike,A,signup,1,1,1,46.0,9,1,1,0,0,135.26,Mid,Medium,4.7,0,1,1
200102,2026-01-29,Thu,Morning,45,Male,Kolkata,Karnataka,India,Telugu,Android,Samsung A14,Android 13,2.0.0,ACT,crm,remarketing,A,notification_open,0,1,1,293.0,7,0,0,1,0,41.89,Mid,Medium,4.3,0,1,0
200103,2026-03-19,Sun,Morning,58,Female,Delhi,Karnataka,India,Bengali,Android,iPhone 13,Android 13,2.1.1,BSNL,meta,lookalike,E,view_service,1,0,1,160.0,9,1,1,1,0,363.76,Low,Medium,3.7,0,0,1
200104,2026-05-04,Thu,Afternoon,57,Male,Bengaluru,Delhi,India,Tamil,Android,Redmi Note,Android 14,1.0.1,Vi,referral,brand_search,A,view_home,1,0,0,169.0,8,0,1,0,0,435.86,Premium,Medium,1.5,1,0,0
200105,2025-04-08,Sat,Evening,46,Female,Indore,Delhi,India,English,Android,OnePlus Nord,Android 14,2.1.1,Airtel,google,remarketing,D,view_service,1,1,1,262.0,7,0,0,1,0,99.77,Low,Low,4.3,0,1,1
200106,2025-08-19,Thu,Morning,20,Male,Kolkata,West Bengal,India,Hindi,Android,Oppo F21,Android 12,1.0.1,Other,google,brand_search,A,notification_open,1,1,1,178.0,14,0,0,1,1,30.72,Low,Low,7.0,0,1,1
200107,2025-11-03,Sun,Evening,47,Female,Bengaluru,Rajasthan,India,Hindi,Android,Oppo F21,Android 14,1.2.3,Airtel,crm,remarketing,B,view_service,1,0,1,472.0,10,0,0,1,0,109.83,Mid,Low,2.3,0,0,0
200108,2025-02-01,Sun,Afternoon,38,Female,Pune,Karnataka,India,Telugu,Android,Oppo F21,iOS 16,2.0.0,Jio,affiliate,lookalike,D,app_launch,1,1,1,164.0,4,0,0,0,0,201.09,High,Low,2.0,1,0,1
